 snap  color marker origin halo_id     tsi  sparsity m12    fsubms ksi    d_off  kuiper_V mean_beta
  169.0 blue  square relax  4.9831282E7 10.0 1.9869   0.518  0.8882 0.729  0.078  -0.019   0.7875   
  169.0 blue  square relax  4.9857788E7 10.0 1.6631   0.5675 0.7376 0.5977 0.115  0.0138   0.8482   
  169.0 blue  square relax  4.9889211E7 10.0 1.3724   0.4963 0.7406 0.6099 0.0795 0.0163   0.7796   
  169.0 blue  square relax  4.9905747E7 10.0 1.4812   0.4885 0.5955 0.5751 0.1308 -0.0622  0.7748   
  169.0 blue  square relax  4.9948182E7 10.0 2.0815   0.4994 0.8937 0.7411 0.0984 0.0356   0.7892   
  169.0 blue  square relax  4.9993588E7 10.0 1.6554   0.5172 0.8413 0.7678 0.0891 0.0516   0.7657   
  169.0 blue  square relax  5.0040925E7 10.0 1.7206   0.4907 0.8196 0.571  0.1205 -0.1328  0.838    
  169.0 blue  square relax  5.0070311E7 10.0 1.4154   0.4635 0.7695 0.6388 0.1042 0.0399   1.0887   
  169.0 blue  square relax  5.0100194E7 10.0 1.6111   0.5663 0.7728 0.8476 0.1045 0.0012   0.7798   
  169.0 blue  square relax  5.0275638E7 10.0 1.3533   0.3893 0.6709 0.663  0.114  -0.0461  0.844    
  169.0 blue  square relax  5.0380152E7 10.0 1.7372   0.5464 0.8097 0.6549 0.0841 0.0015   0.8774   
  169.0 blue  square relax  5.0439225E7 10.0 1.5982   0.4799 0.7968 0.6836 0.0754 0.016    0.7369   
  169.0 blue  square relax  4.9449243E7 10.0 1.3336   0.3945 0.5902 0.6384 0.1253 -0.0453  0.8304   
  169.0 blue  square relax  4.9477057E7 10.0 1.4501   0.5037 0.7217 0.6572 0.1011 -0.0881  0.8432   
  169.0 blue  square relax  4.9492656E7 10.0 1.6918   0.522  0.7927 0.697  0.1289 -0.0164  0.9133   
  169.0 blue  square relax  4.9506139E7 10.0 1.7498   0.4756 0.7415 0.7687 0.1315 0.0625   0.8279   
  169.0 blue  square relax  4.9536777E7 10.0 1.5701   0.5204 0.6485 0.6292 0.1307 0.0047   0.7735   
  169.0 blue  square relax  4.9569794E7 10.0 1.5443   0.4576 0.6224 0.5788 0.1252 -0.0337  0.75     
  169.0 blue  square relax  4.9597342E7 10.0 1.7201   0.5089 0.8379 0.7458 0.1194 0.0193   0.8968   
  169.0 blue  square relax  4.9628476E7 10.0 1.3914   0.4649 0.7799 0.5992 0.0898 0.0688   0.904    
  169.0 blue  square relax  4.9656236E7 10.0 1.4303   0.3781 0.6968 0.6827 0.0738 0.0351   0.7645   
  169.0 blue  square relax  4.9729964E7 10.0 1.6441   0.5861 0.8027 0.5003 0.1153 -0.0147  0.8807   
  169.0 blue  square relax  4.9539741E7 10.0 1.3428   0.341  0.6273 0.6614 0.1083 0.0254   0.7907   
  169.0 blue  square relax  4.958437E7  10.0 1.6558   0.5234 0.7724 0.9129 0.0692 0.0876   0.8684   
  169.0 blue  square relax  4.9659224E7 10.0 1.7377   0.6171 0.8925 0.7778 0.1007 -0.0155  0.7365   
  169.0 blue  square relax  4.9659728E7 10.0 1.7624   0.4884 0.7667 0.6159 0.0724 0.0993   0.807    
  169.0 blue  square relax  4.967376E7  10.0 1.8963   0.4995 0.8762 0.7701 0.099  -0.0081  0.7682   
  169.0 blue  square relax  4.9675369E7 10.0 1.5619   0.3944 0.6229 0.3684 0.1019 -0.0365  0.8017   
  169.0 blue  square relax  4.971764E7  10.0 1.4309   0.345  0.6972 0.7135 0.097  -0.0237  0.7464   
  169.0 blue  square relax  4.9748158E7 10.0 2.0887   0.5893 0.8644 0.7267 0.1239 -0.1092  0.8646   
  169.0 blue  square relax  4.9748301E7 10.0 1.4869   0.3099 0.6781 0.7935 0.0784 -0.004   0.8478   
  169.0 blue  square relax  4.9764009E7 10.0 1.7471   0.5195 0.8411 0.693  0.0731 0.0274   0.7973   
  169.0 blue  square relax  4.9765032E7 10.0 1.8903   0.4231 0.773  0.7816 0.0909 0.035    0.8078   
  169.0 blue  square relax  4.9824219E7 10.0 1.8945   0.5102 0.7908 0.865  0.1417 -0.0186  0.778    
  169.0 blue  square relax  4.9824427E7 10.0 1.6418   0.4289 0.6885 0.8143 0.1036 -0.0123  0.857    
  169.0 blue  square relax  4.9864265E7 10.0 1.7979   0.4183 0.7964 0.7207 0.132  -0.0053  0.8374   
  169.0 blue  square relax  4.9878485E7 10.0 1.6351   0.4089 0.8086 0.669  0.0762 0.009    0.8094   
  169.0 blue  square relax  4.9879197E7 10.0 1.392    0.4023 0.6386 0.5793 0.1074 -0.0022  0.8132   
  169.0 blue  square relax  4.9922665E7 10.0 1.3828   0.4235 0.635  0.7578 0.085  -0.0022  0.8034   
  169.0 blue  square relax  4.9938072E7 10.0 1.786    0.4379 0.7432 0.8417 0.1007 -0.0162  0.8532   
  169.0 blue  square relax  4.9982288E7 10.0 1.9404   0.4837 0.8356 0.7282 0.0906 0.0399   0.7395   
  169.0 blue  square relax  5.0028151E7 10.0 1.9243   0.4464 0.9073 0.7771 0.0771 -0.024   0.7494   
  169.0 blue  square relax  5.005861E7  10.0 1.7339   0.5291 0.8577 0.7104 0.1205 -0.0945  0.8438   
  169.0 blue  square relax  5.015575E7  10.0 2.0255   0.396  0.8335 0.8391 0.097  0.0412   0.7449   
  169.0 blue  square relax  5.0156271E7 10.0 1.6995   0.4172 0.6891 0.7311 0.1327 -0.084   0.828    
  169.0 blue  square relax  5.0186869E7 10.0 1.7043   0.5603 0.9279 0.7268 0.0829 0.074    0.6956   
  169.0 blue  square relax  5.0200817E7 10.0 1.3313   0.299  0.484  0.3592 0.124  2.0E-4   0.7477   
  169.0 blue  square relax  5.0216752E7 10.0 1.9145   0.4675 0.8579 0.8338 0.1271 -0.0219  0.7944   
  169.0 blue  square relax  5.0217082E7 10.0 1.7289   0.4249 0.7969 0.8484 0.1081 0.0166   0.9531   
  169.0 blue  square relax  5.0324454E7 10.0 1.4751   0.4385 0.6986 0.704  0.1002 0.0167   0.8459   
  169.0 blue  square relax  5.0355525E7 10.0 1.5166   0.396  0.7113 0.671  0.1272 -0.0173  0.8214   
  169.0 blue  square relax  5.0383331E7 10.0 1.7882   0.5316 0.7378 0.5633 0.1066 -0.0114  0.7952   
  169.0 blue  square relax  4.99028E7   10.0 1.6912   0.4159 0.6805 0.8506 0.0928 0.037    0.8082   
  169.0 blue  square relax  4.9963813E7 10.0 1.8449   0.4436 0.7773 0.6286 0.1224 -0.0726  0.8689   
  169.0 blue  square relax  4.9977855E7 10.0 1.6499   0.424  0.698  0.7506 0.131  -0.0192  0.8548   
  169.0 blue  square relax  5.005269E7  10.0 1.4979   0.554  0.844  0.5811 0.0955 -0.0751  0.7301   
  169.0 blue  square relax  5.0082081E7 10.0 1.8226   0.5203 0.8934 0.8549 0.1046 -0.0182  0.7761   
  169.0 blue  square relax  5.0113821E7 10.0 1.7146   0.4869 0.8741 0.9558 0.0668 -0.0164  0.7518   
  169.0 blue  square relax  5.0114104E7 10.0 1.5618   0.3685 0.7116 0.6193 0.1118 0.0294   0.808    
  169.0 blue  square relax  4.9938643E7 10.0 1.7869   0.4736 0.7633 0.9154 0.1111 0.0103   0.8021   
  169.0 blue  square relax  5.0040419E7 10.0 1.4602   0.4588 0.7461 0.8713 0.0718 -0.0167  0.743    
  169.0 blue  square relax  5.0056829E7 10.0 1.4421   0.4887 0.7977 0.7049 0.0979 0.0365   0.834    
  169.0 blue  square relax  5.0057273E7 10.0 1.4659   0.5326 0.7452 0.7123 0.114  -0.0328  0.7715   
  169.0 blue  square relax  5.0057404E7 10.0 1.6659   0.4997 0.8427 0.6953 0.1163 -0.031   0.8477   
  169.0 blue  square relax  5.00701E7   10.0 1.593    0.6106 0.8069 0.9054 0.1112 -0.0099  0.8212   
  169.0 blue  square relax  5.0086297E7 10.0 1.5944   0.4525 0.7401 0.845  0.1322 0.003    0.7969   
  169.0 blue  square relax  5.0086922E7 10.0 1.4532   0.5052 0.7048 0.5432 0.0932 -0.0632  0.8031   
  169.0 blue  square relax  5.0101321E7 10.0 2.0828   0.5514 0.9119 0.8201 0.0649 -0.0197  0.6769   
  169.0 blue  square relax  5.0101711E7 10.0 1.7457   0.482  0.6907 0.79   0.127  0.0176   0.8508   
  169.0 blue  square relax  5.0146488E7 10.0 1.8735   0.5716 0.8362 0.7509 0.1295 -0.0614  0.8851   
  169.0 blue  square relax  5.0161348E7 10.0 1.9126   0.4437 0.8632 0.7884 0.0855 0.0753   0.7934   
  169.0 blue  square relax  5.0176782E7 10.0 1.5988   0.3985 0.6662 0.503  0.1533 -0.0228  0.8422   
  169.0 blue  square relax  5.0192398E7 10.0 1.4515   0.4909 0.7146 0.7835 0.0747 -0.0175  0.7961   
  169.0 blue  square relax  5.0209374E7 10.0 1.4333   0.3503 0.6451 0.6169 0.0907 0.0313   0.8054   
  169.0 blue  square relax  4.9770552E7 10.0 1.7293   0.533  0.8052 0.5418 0.1135 -0.0629  0.8586   
  169.0 blue  square relax  4.9801268E7 10.0 1.6062   0.5035 0.7514 0.5584 0.0831 -0.0244  0.8697   
  169.0 blue  square relax  4.9817377E7 10.0 1.6112   0.518  0.7511 0.8397 0.1333 0.0403   0.897    
  169.0 blue  square relax  4.9847616E7 10.0 1.7466   0.513  0.7649 0.7531 0.1098 -0.044   0.8083   
  169.0 blue  square relax  4.984803E7  10.0 1.7704   0.5268 0.7482 0.7454 0.1194 -0.0411  0.7804   
  169.0 blue  square relax  4.9922419E7 10.0 1.6815   0.5216 0.834  0.5325 0.0833 -0.0463  0.805    
  169.0 blue  square relax  4.997011E7  10.0 1.7206   0.4684 0.8542 0.7941 0.0621 -0.0251  0.7448   
  169.0 blue  square relax  4.9983549E7 10.0 1.6631   0.5967 0.8208 0.7544 0.0842 -0.0034  0.8419   
  169.0 blue  square relax  5.0030222E7 10.0 1.6517   0.5116 0.8436 0.8791 0.0977 -0.0577  0.8074   
  169.0 blue  square relax  5.0058342E7 10.0 1.7316   0.543  0.8572 0.7408 0.0663 0.0509   0.8285   
  169.0 blue  square relax  5.005861E7  10.0 1.3639   0.3587 0.6142 0.4531 0.088  -0.0709  0.7253   
  169.0 blue  square relax  4.9712951E7 10.0 1.4989   0.4571 0.8077 0.7953 0.1231 0.052    0.8657   
  169.0 blue  square relax  4.9769061E7 10.0 1.7793   0.4128 0.77   0.7924 0.0744 -0.0767  0.7715   
  169.0 blue  square relax  4.9769633E7 10.0 1.4038   0.4496 0.8272 0.6638 0.111  0.0268   0.8635   
  169.0 blue  square relax  4.9769778E7 10.0 1.7735   0.4926 0.7942 0.5822 0.1503 -0.0014  0.8296   
  169.0 blue  square relax  4.9830136E7 10.0 1.2776   0.451  0.7315 0.6559 0.0825 -0.0247  0.7602   
  169.0 blue  square relax  4.9874748E7 10.0 1.656    0.525  0.8668 0.6627 0.0696 -0.0792  0.842    
  169.0 blue  square relax  4.9875026E7 10.0 1.301    0.483  0.7709 0.4598 0.0981 -0.0216  0.8966   
  169.0 blue  square relax  4.9919448E7 10.0 1.666    0.5488 0.7391 0.9652 0.0891 -0.0148  0.7477   
  169.0 blue  square relax  4.9919837E7 10.0 1.8756   0.5156 0.8463 0.8163 0.0554 0.06     0.7522   
  169.0 blue  square relax  4.992032E7  10.0 1.6979   0.3886 0.6932 0.7038 0.1056 0.0326   0.8366   
  169.0 blue  square relax  4.9935019E7 10.0 1.645    0.3162 0.7248 0.7602 0.1189 -0.0042  0.8253   
  169.0 blue  square relax  4.9979695E7 10.0 1.5779   0.4607 0.7923 0.8462 0.0805 7.0E-4   0.8412   
  169.0 blue  square relax  4.9994636E7 10.0 1.6841   0.5738 0.7284 0.9397 0.1103 -0.003   0.8236   
  169.0 blue  square relax  5.0043012E7 10.0 1.6361   0.5399 0.8655 0.7015 0.0586 0.0015   1.4235   
  169.0 blue  square relax  5.0075811E7 10.0 1.5319   0.449  0.7686 0.6535 0.1515 -0.0161  0.873    
  169.0 blue  square relax  5.0131275E7 10.0 1.5438   0.4962 0.8392 0.6405 0.0903 0.012    0.779    
  169.0 blue  square relax  5.0131969E7 10.0 1.4786   0.4481 0.6057 0.5484 0.1439 -0.0217  0.8666   
  169.0 blue  square relax  5.0145784E7 10.0 1.7761   0.4233 0.8819 0.7915 0.0961 0.0148   0.7085   
  169.0 blue  square relax  5.0160239E7 10.0 2.0096   0.531  0.7985 0.7198 0.1702 0.1179   0.8791   
  169.0 blue  square relax  4.9948374E7 10.0 1.3264   0.4235 0.7058 0.6737 0.0825 0.0348   0.8519   
  169.0 blue  square relax  5.0010897E7 10.0 1.6397   0.4531 0.8311 0.6881 0.0716 -0.0077  0.769    
  169.0 blue  square relax  5.0026242E7 10.0 1.998    0.521  0.871  0.7118 0.0801 -0.0397  0.7721   
  169.0 blue  square relax  5.0026747E7 10.0 1.8849   0.4992 0.8961 0.7735 0.0945 -0.0786  0.7869   
  169.0 blue  square relax  5.0071819E7 10.0 1.5498   0.4878 0.6661 0.8573 0.1566 -0.0275  0.8694   
  169.0 blue  square relax  5.0072382E7 10.0 1.9217   0.5016 0.8464 0.8368 0.0988 -0.0088  0.8291   
  169.0 blue  square relax  5.0085763E7 10.0 1.5281   0.4639 0.693  0.9138 0.0928 0.0743   0.8054   
  169.0 blue  square relax  4.9865183E7 10.0 1.4952   0.5563 0.7281 0.6075 0.1647 -0.022   0.9117   
  169.0 blue  square relax  4.9865416E7 10.0 1.4598   0.4678 0.6844 0.6276 0.1119 0.0286   0.8378   
  169.0 blue  square relax  4.9944696E7 10.0 1.6693   0.5911 0.8785 0.8267 0.0841 -0.0179  0.8141   
  169.0 blue  square relax  4.9989849E7 10.0 1.8685   0.5066 0.8149 0.7823 0.0955 -0.0204  0.7886   
  169.0 blue  square relax  5.0006651E7 10.0 1.8787   0.3895 0.857  0.7786 0.0852 -0.0386  0.7589   
  169.0 blue  square relax  5.0007231E7 10.0 1.623    0.2947 0.6256 0.6395 0.1936 0.0014   0.7247   
  169.0 blue  square relax  5.0017965E7 10.0 1.6258   0.4756 0.8276 0.6612 0.0649 -0.0341  0.7858   
  169.0 blue  square relax  5.0062796E7 10.0 1.7568   0.5659 0.8121 0.7471 0.1043 0.0895   0.8827   
  169.0 blue  square relax  5.0076601E7 10.0 1.6976   0.4863 0.7855 0.6386 0.0729 -0.0399  0.7918   
  169.0 blue  square relax  5.0091878E7 10.0 1.8399   0.4879 0.7978 0.5964 0.1101 0.0166   0.797    
  169.0 blue  square relax  5.0092547E7 10.0 1.665    0.4261 0.7318 0.7811 0.1135 -0.0626  0.7907   
  169.0 blue  square relax  5.0106614E7 10.0 2.0942   0.3541 0.7824 0.9584 0.082  -0.0378  0.7599   
  169.0 blue  square relax  5.0136739E7 10.0 1.6768   0.482  0.8162 0.7724 0.1342 -0.0858  0.8661   
  169.0 blue  square relax  4.9744483E7 10.0 1.7854   0.3941 0.7944 0.8305 0.0916 -0.03    0.7797   
  169.0 blue  square relax  4.9758316E7 10.0 1.5231   0.3774 0.7135 0.5667 0.0805 0.0725   0.8211   
  169.0 blue  square relax  4.9774927E7 10.0 1.598    0.4945 0.7751 0.7872 0.1004 0.0099   1.1595   
  169.0 blue  square relax  4.9806251E7 10.0 1.4074   0.5291 0.8209 0.5854 0.0912 0.0096   0.9307   
  169.0 blue  square relax  4.9820578E7 10.0 1.3684   0.501  0.7564 0.4753 0.1148 8.0E-4   0.8504   
  169.0 blue  square relax  4.9836069E7 10.0 1.4516   0.4125 0.6608 0.4269 0.0704 0.0205   0.764    
  169.0 blue  square relax  4.9882966E7 10.0 1.9052   0.5427 0.8337 0.7501 0.1    0.0894   0.9627   
  169.0 blue  square relax  5.0331699E7 10.0 1.7588   0.5273 0.7228 0.6314 0.1723 -0.014   0.8991   
  169.0 blue  square relax  5.036359E7  10.0 1.7139   0.5081 0.8071 0.8438 0.1079 0.0479   0.8      
  169.0 blue  square relax  5.0377808E7 10.0 1.6015   0.4555 0.7132 0.6519 0.1137 -0.0241  0.8117   
  169.0 blue  square relax  5.0393228E7 10.0 1.6049   0.4926 0.806  0.7269 0.1067 -0.0747  0.918    
  169.0 blue  square relax  5.0407798E7 10.0 1.5717   0.5634 0.7838 0.7919 0.0961 0.02     0.7874   
  169.0 blue  square relax  5.0453221E7 10.0 1.3292   0.3804 0.5585 0.3261 0.0842 0.0316   0.8014   
  169.0 blue  square relax  4.9494561E7 10.0 1.8638   0.4975 0.7667 0.8012 0.1133 -0.0708  0.8182   
  169.0 blue  square relax  4.9510275E7 10.0 2.0641   0.576  0.8692 0.7557 0.1203 0.0473   0.808    
  169.0 blue  square relax  4.9523835E7 10.0 2.0049   0.5432 0.9227 0.6735 0.0794 0.0797   0.7194   
  169.0 blue  square relax  4.9524824E7 10.0 1.3669   0.3919 0.728  0.5518 0.1056 -0.0403  0.827    
  169.0 blue  square relax  4.9626494E7 10.0 1.7141   0.4819 0.812  0.6384 0.1021 0.0435   0.77     
  169.0 blue  square relax  4.9640579E7 10.0 1.4473   0.5374 0.7837 0.6654 0.0789 0.0477   0.8601   
  169.0 blue  square relax  4.9786533E7 10.0 1.6557   0.4588 0.7589 0.7911 0.1323 0.0616   0.7777   
  169.0 blue  square relax  4.9803522E7 10.0 1.6251   0.3213 0.7032 0.7782 0.1262 -0.0267  0.7522   
  169.0 blue  square relax  4.9861652E7 10.0 1.7305   0.4789 0.8439 0.7448 0.0661 0.0208   0.7533   
  169.0 blue  square relax  4.9908713E7 10.0 1.8167   0.5885 0.8122 0.6904 0.1075 0.015    0.7854   
  169.0 blue  square relax  4.9923326E7 10.0 1.9375   0.5362 0.8708 0.777  0.0741 -0.0946  0.9225   
  169.0 blue  square relax  4.9923687E7 10.0 1.4311   0.3577 0.6738 0.519  0.053  -0.0118  0.8353   
  169.0 blue  square relax  4.9938855E7 10.0 1.8148   0.4267 0.8121 0.7112 0.0982 0.0394   0.8581   
  169.0 blue  square relax  4.9950825E7 10.0 1.6093   0.5391 0.7846 0.7403 0.1157 -0.0722  0.8592   
  169.0 blue  square relax  4.9966067E7 10.0 1.3835   0.4902 0.8078 0.7729 0.1147 0.1014   0.8858   
  169.0 blue  square relax  4.9995598E7 10.0 1.6548   0.4887 0.7779 0.7046 0.1204 0.0196   0.8636   
  169.0 blue  square relax  4.9638591E7 10.0 1.1793   0.5001 0.7181 0.5064 0.0747 -0.0367  0.8681   
  169.0 blue  square relax  4.9684294E7 10.0 1.6691   0.4103 0.7089 0.8216 0.1103 -0.001   0.8      
  169.0 blue  square relax  4.9699321E7 10.0 1.5482   0.4426 0.7521 0.7011 0.1107 0.0821   0.8804   
  169.0 blue  square relax  4.9714804E7 10.0 1.2937   0.413  0.7517 0.5215 0.0865 0.0186   0.866    
  169.0 blue  square relax  4.9746363E7 10.0 1.4012   0.3936 0.6685 0.585  0.0887 -0.0791  0.7529   
  169.0 blue  square relax  4.9762883E7 10.0 1.6609   0.4523 0.7954 0.8469 0.0972 0.0034   0.8025   
  169.0 blue  square relax  4.9763589E7 10.0 1.3909   0.5038 0.7937 0.9279 0.1267 0.1023   0.8779   
  169.0 blue  square relax  4.9777054E7 10.0 1.8218   0.3638 0.7994 0.8385 0.1017 0.0582   0.8384   
  169.0 blue  square relax  4.9789865E7 10.0 1.7403   0.3951 0.751  0.7989 0.1181 -0.0244  0.7915   
  169.0 blue  square relax  4.9848425E7 10.0 1.6032   0.3222 0.7322 0.6736 0.1056 0.0179   0.8757   
  169.0 blue  square relax  4.9924437E7 10.0 1.95     0.5136 0.8863 0.7861 0.0848 -0.0115  0.7529   
  169.0 blue  square relax  4.992526E7  10.0 1.5841   0.5066 0.7672 0.6644 0.116  -0.0627  0.8599   
  169.0 blue  square relax  4.9666827E7 10.0 1.5046   0.5273 0.8686 0.6765 0.0685 0.0071   0.8568   
  169.0 blue  square relax  4.9695516E7 10.0 1.4333   0.3513 0.7336 0.6525 0.0861 0.0401   0.7796   
  169.0 blue  square relax  4.9711555E7 10.0 1.989    0.5155 0.8397 0.8506 0.0979 0.0423   0.837    
